policy_id,age_of_policyholder
P45544,38.5653
P45545,34.771366
P45546,37.3076
P45547,36.036037
P45548,34.402573
P45549,40.49284
P45550,34.86792
P45551,38.781204
P45552,36.880016
P45553,33.444443
P45554,31.38236
P45555,35.204483
P45556,41.330563
P45557,36.292805
P45558,33.91337
P45559,40.75112
P45560,34.738148
P45561,38.53519
P45562,40.863808
P45563,38.783405
P45564,35.295662
P45565,35.303417
P45566,33.722294
P45567,36.10077
P45568,32.91034
P45569,34.73182
P45570,37.51404
P45571,34.680096
P45572,37.608887
P45573,40.247196
P45574,37.631622
P45575,35.44965
P45576,35.0844
P45577,35.180267
P45578,38.711044
P45579,36.54405
P45580,35.0844
P45581,35.076305
P45582,36.71686
P45583,38.691082
P45584,38.32487
P45585,37.116924
P45586,32.186028
P45587,35.7766
P45588,37.35234
P45589,36.171112
P45590,33.817398
P45591,33.87333
P45592,38.819645
P45593,37.335625
P45594,36.109894
P45595,35.955906
P45596,35.122704
P45597,38.510296
P45598,36.639866
P45599,35.78885
P45600,35.93616
P45601,38.369396
P45602,36.89214
P45603,38.95143
P45604,40.661224
P45605,38.664776
P45606,39.20626
P45607,36.611557
P45608,40.19411
P45609,36.619816
P45610,35.47644
P45611,39.19963
P45612,35.343487
P45613,34.73182
P45614,36.70712
P45615,41.16128
P45616,34.985302
P45617,38.04926
P45618,35.29798
P45619,33.1781
P45620,39.18166
P45621,35.475845
P45622,33.58925
P45623,36.38895
P45624,37.750137
P45625,37.967068
P45626,40.560337
P45627,38.541424
P45628,35.9522
P45629,38.574528
P45630,35.138798
P45631,38.477047
P45632,32.457108
P45633,39.74765
P45634,35.14308
P45635,38.14185
P45636,35.2137
P45637,38.353874
P45638,38.704453
P45639,36.73842
P45640,39.035854
P45641,37.633892
P45642,35.54895
P45643,33.34491
P45644,33.490517
P45645,40.45999
P45646,40.633835
P45647,40.20693
P45648,35.191578
P45649,36.067318
P45650,35.377995
P45651,36.049328
P45652,37.197926
P45653,35.459133
P45654,35.043835
P45655,36.652596
P45656,37.034237
P45657,36.265736
P45658,33.89054
P45659,40.523075
P45660,33.937244
P45661,37.865192
P45662,34.59028
P45663,40.800335
P45664,35.651855
P45665,37.679455
P45666,34.933327
P45667,35.427048
P45668,34.76929
P45669,36.61875
P45670,38.600426
P45671,37.417057
P45672,36.015327
P45673,39.822037
P45674,38.797375
P45675,35.681164
P45676,39.63006
P45677,40.18325
P45678,36.58498
P45679,38.746857
P45680,40.830685
P45681,36.786182
P45682,38.213814
P45683,36.411953
P45684,40.033398
P45685,36.95225
P45686,38.286114
P45687,42.05367
P45688,37.14202
P45689,40.33066
P45690,34.681946
P45691,38.38611
P45692,34.953552
P45693,35.252724
P45694,35.912926
P45695,32.455357
P45696,36.66846
P45697,39.229053
P45698,36.874245
P45699,34.52587
P45700,36.42336
P45701,36.100094
P45702,33.766212
P45703,31.20036
P45704,35.555553
P45705,36.88809
P45706,33.98674
P45707,37.36996
P45708,38.069157
P45709,33.910393
P45710,34.927204
P45711,34.4944
P45712,34.005592
P45713,33.509583
P45714,32.578766
P45715,34.91799
P45716,33.481617
P45717,41.150364
P45718,32.731228
P45719,33.57244
P45720,37.115376
P45721,32.343884
P45722,36.598083
P45723,38.84974
P45724,34.71513
P45725,40.05206
P45726,35.206028
P45727,38.255024
P45728,36.68793
P45729,36.209698
P45730,35.800343
P45731,35.108803
P45732,32.904186
P45733,37.80596
P45734,35.475384
P45735,35.912117
P45736,36.00539
P45737,34.621716
P45738,37.721638
P45739,36.863205
P45740,34.990673
P45741,36.46087
P45742,36.000935
P45743,37.186924
P45744,39.98518
P45745,35.578125
P45746,38.855637
P45747,40.54034
P45748,37.086857
P45749,32.85991
P45750,39.20003
P45751,37.148388
P45752,36.659985
P45753,41.30566
P45754,36.54654
P45755,37.87992
P45756,37.3802
P45757,33.3387
P45758,38.679874
P45759,40.833576
P45760,35.025272
P45761,37.646076
P45762,39.32895
P45763,36.83559
P45764,37.35166
P45765,38.53683
P45766,35.611332
P45767,41.118694
P45768,36.085815
P45769,38.578094
P45770,35.631
P45771,38.738186
P45772,35.03231
P45773,38.930832
P45774,34.40955
P45775,36.589745
P45776,38.00848
P45777,38.217712
P45778,37.4494
P45779,36.03823
P45780,34.455574
P45781,37.040283
P45782,39.810616
P45783,33.88386
P45784,35.84849
P45785,36.46051
P45786,37.076138
P45787,32.499924
P45788,33.115482
P45789,37.496403
P45790,40.728073
P45791,38.252
P45792,33.697403
P45793,37.390457
P45794,37.353333
P45795,38.9553
P45796,37.056004
P45797,35.472824
P45798,34.522472
P45799,36.16842
P45800,32.84299
P45801,33.730064
P45802,36.85615
P45803,40.517944
P45804,40.919262
P45805,37.49822
P45806,37.379425
P45807,33.88449
P45808,35.636135
P45809,38.123825
P45810,36.83843
P45811,36.57424
P45812,39.579803
P45813,43.528057
P45814,35.18467
P45815,42.47606
P45816,39.08929
P45817,34.858757
P45818,33.79104
P45819,38.855637
P45820,36.04318
P45821,36.63217
P45822,35.863335
P45823,35.193813
P45824,35.9522
P45825,35.03231
P45826,39.061058
P45827,35.11104
P45828,36.938614
P45829,38.269005
P45830,38.12744
P45831,35.740738
P45832,35.23053
P45833,40.289486
P45834,39.858036
P45835,40.06669
P45836,37.11786
P45837,37.744064
P45838,38.89628
P45839,35.866344
P45840,42.59713
P45841,37.33985
P45842,38.878445
P45843,35.251896
P45844,38.118656
P45845,34.451744
P45846,34.294674
P45847,35.422432
P45848,40.28512
P45849,37.048393
P45850,35.374805
P45851,38.588608
P45852,42.215107
P45853,37.750137
P45854,38.58747
P45855,34.60383
P45856,38.779324
P45857,35.285496
P45858,38.859123
P45859,36.55078
P45860,34.133816
P45861,36.325714
P45862,39.40384
P45863,40.272385
P45864,37.430992
P45865,39.09781
P45866,39.794083
P45867,39.457756
P45868,37.645008
P45869,37.995876
P45870,38.50346
P45871,39.557983
P45872,40.141014
P45873,36.046555
P45874,31.616152
P45875,42.45394
P45876,36.543026
P45877,35.364628
P45878,34.182022
P45879,38.91372
P45880,37.79729
P45881,39.466743
P45882,39.346466
P45883,38.587746
P45884,37.620564
P45885,35.72771
P45886,37.917645
P45887,37.174335
P45888,36.10413
P45889,39.526417
P45890,37.547367
P45891,39.32115
P45892,35.558544
P45893,41.113663
P45894,35.379097
P45895,37.47241
P45896,35.07393
P45897,35.631
P45898,33.119213
P45899,33.36759
P45900,37.241028
P45901,36.461296
P45902,36.838562
P45903,38.25662
P45904,35.5981
P45905,39.23622
P45906,36.97485
P45907,39.84967
P45908,37.0114
P45909,37.241028
P45910,40.88279
P45911,36.16908
P45912,34.708134
P45913,35.642982
P45914,40.381344
P45915,35.532364
P45916,38.551525
P45917,33.142826
P45918,36.229656
P45919,38.82441
P45920,33.147846
P45921,38.811756
P45922,34.802353
P45923,40.843887
P45924,39.846237
P45925,34.369564
P45926,35.919724
P45927,37.831387
P45928,33.271015
P45929,34.817715
P45930,38.23379
P45931,32.49671
P45932,35.45295
P45933,37.427685
P45934,35.58827
P45935,38.197346
P45936,36.098248
P45937,37.443718
P45938,38.05896
P45939,41.030018
P45940,43.260323
P45941,38.389576
P45942,36.995033
P45943,33.927
P45944,35.159313
P45945,33.87333
P45946,38.41554
P45947,40.80076
P45948,37.99566
P45949,35.963444
P45950,37.195316
P45951,35.525608
P45952,34.555782
P45953,40.783783
P45954,42.01721
P45955,36.22409
P45956,39.632362
P45957,38.25662
P45958,35.530773
P45959,34.971436
P45960,34.74459
P45961,36.568558
P45962,39.20624
P45963,39.552643
P45964,37.82105
P45965,35.466656
P45966,36.664845
P45967,39.49866
P45968,37.448788
P45969,33.466106
P45970,37.762444
P45971,40.370712
P45972,36.816654
P45973,36.500843
P45974,38.376476
P45975,41.94937
P45976,41.16734
P45977,35.89614
P45978,35.61607
P45979,38.616333
P45980,33.81424
P45981,37.48017
P45982,40.178654
P45983,33.74169
P45984,40.991528
P45985,39.933773
P45986,36.030987
P45987,36.84245
P45988,35.321686
P45989,36.617832
P45990,37.905277
P45991,39.58764
P45992,38.21177
P45993,39.26063
P45994,36.490658
P45995,36.02139
P45996,39.21576
P45997,40.37438
P45998,37.392757
P45999,36.6122
P46000,35.508686
P46001,34.542225
P46002,36.074005
P46003,40.894283
P46004,39.092094
P46005,37.064144
P46006,38.923378
P46007,35.04319
P46008,38.567474
P46009,38.86829
P46010,39.19368
P46011,33.738724
P46012,37.144165
P46013,32.508556
P46014,39.96908
P46015,35.324947
P46016,36.018967
P46017,34.2156
P46018,38.558277
P46019,35.331795
P46020,39.252728
P46021,35.46181
P46022,33.747272
P46023,34.990685
P46024,36.17114
P46025,31.403519
P46026,37.56474
P46027,39.385956
P46028,34.346607
P46029,34.13273
P46030,39.389557
P46031,36.01664
P46032,39.726276
P46033,37.2016
P46034,38.82855
P46035,36.6748
P46036,40.765358
P46037,39.229164
P46038,36.996864
P46039,33.95337
P46040,36.439865
P46041,37.65527
P46042,35.32438
P46043,35.9197
P46044,32.49652
P46045,36.874447
P46046,36.552067
P46047,39.19365
P46048,38.40913
P46049,35.01137
P46050,34.197002
P46051,37.1786
P46052,35.40426
P46053,34.653
P46054,36.327576
P46055,37.81738
P46056,37.105576
P46057,39.44621
P46058,38.16491
P46059,37.42176
P46060,33.152966
P46061,35.886135
P46062,36.09239
P46063,39.22474
P46064,39.76738
P46065,34.16047
P46066,36.01696
P46067,39.552452
P46068,36.085503
P46069,40.488785
P46070,37.88623
P46071,38.082638
P46072,38.318695
P46073,37.407364
P46074,37.07576
P46075,38.249332
P46076,38.535034
P46077,37.124943
P46078,37.8868
P46079,37.49998
P46080,39.688534
P46081,34.79503
P46082,36.91464
P46083,34.256466
P46084,31.839453
P46085,37.854584
P46086,35.679863
P46087,38.34091
P46088,39.69849
P46089,39.089855
P46090,39.807636
P46091,41.46196
P46092,34.406216
P46093,36.414616
P46094,37.872498
P46095,35.0222
P46096,34.245193
P46097,35.857025
P46098,35.946114
P46099,38.43763
P46100,40.214466
P46101,36.888653
P46102,42.32633
P46103,43.762173
P46104,34.434425
P46105,36.42336
P46106,39.417786
P46107,36.111507
P46108,31.73782
P46109,43.199207
P46110,39.74
P46111,35.530773
P46112,39.918175
P46113,39.15175
P46114,38.05896
P46115,37.696697
P46116,38.867725
P46117,39.385998
P46118,40.668804
P46119,38.48642
P46120,40.82525
P46121,35.551216
P46122,36.103313
P46123,39.076504
P46124,34.123146
P46125,34.084484
P46126,34.14749
P46127,36.983074
P46128,38.09014
P46129,35.19633
P46130,39.750404
P46131,37.75127
P46132,34.195995
P46133,39.25923
P46134,34.761864
P46135,40.76458
P46136,38.044437
P46137,38.279537
P46138,38.786823
P46139,36.428455
P46140,42.50077
P46141,36.225853
P46142,33.294167
P46143,35.721786
P46144,41.24653
P46145,38.07862
P46146,36.90117
P46147,41.19434
P46148,39.663216
P46149,37.880104
P46150,35.391758
P46151,36.151764
P46152,35.23441
P46153,37.58097
P46154,39.876263
P46155,35.24001
P46156,34.441433
P46157,37.632755
P46158,36.673462
P46159,36.403
P46160,37.805126
P46161,35.055923
P46162,40.025986
P46163,35.055084
P46164,33.20462
P46165,37.869804
P46166,34.164413
P46167,35.679436
P46168,35.18467
P46169,34.056282
P46170,36.665947
P46171,36.849724
P46172,37.00163
P46173,40.38062
P46174,36.889587
P46175,37.916363
P46176,35.241318
P46177,37.574738
P46178,32.830326
P46179,37.6763
P46180,36.026546
P46181,38.28248
P46182,37.115154
P46183,36.22328
P46184,37.072456
P46185,37.698574
P46186,38.663227
P46187,38.386467
P46188,38.428387
P46189,35.374523
P46190,38.605602
P46191,34.979404
P46192,33.426113
P46193,36.808437
P46194,39.029747
P46195,36.6373
P46196,30.735521
P46197,33.890995
P46198,34.33848
P46199,39.7816
P46200,38.086555
P46201,36.20928
P46202,43.15186
P46203,36.453655
P46204,33.966858
P46205,33.793793
P46206,35.103485
P46207,40.068027
P46208,37.37009
P46209,36.65727
P46210,39.689774
P46211,39.204254
P46212,38.445652
P46213,38.58229
P46214,36.20487
P46215,37.80297
P46216,41.285995
P46217,37.2016
P46218,39.817257
P46219,31.617937
P46220,39.120613
P46221,36.3528
P46222,35.163094
P46223,37.779423
P46224,39.646736
P46225,35.381313
P46226,35.752735
P46227,38.008957
P46228,34.28687
P46229,33.958076
P46230,38.33492
P46231,32.308567
P46232,38.23492
P46233,31.562328
P46234,41.51307
P46235,35.07656
P46236,38.784725
P46237,38.05896
P46238,36.386326
P46239,34.424465
P46240,36.38403
P46241,38.009666
P46242,40.304096
P46243,38.4878
P46244,33.74159
P46245,31.935402
P46246,36.770565
P46247,32.901546
P46248,35.53466
P46249,36.97485
P46250,43.417458
P46251,37.144928
P46252,35.847942
P46253,35.991177
P46254,36.7314
P46255,35.80423
P46256,34.727825
P46257,33.78889
P46258,40.525944
P46259,35.002983
P46260,35.377758
P46261,39.060635
P46262,33.029552
P46263,37.86606
P46264,35.74456
P46265,39.234276
P46266,35.225864
P46267,40.90438
P46268,38.43563
P46269,36.552067
P46270,36.188038
P46271,39.775925
P46272,36.79313
P46273,34.835297
P46274,34.38923
P46275,35.635963
P46276,34.97125
P46277,37.61093
P46278,33.597103
P46279,41.014225
P46280,36.024883
P46281,38.536983
P46282,35.823795
P46283,34.542538
P46284,35.567116
P46285,40.363873
P46286,36.926666
P46287,38.60174
P46288,36.208733
P46289,38.18748
P46290,40.80076
P46291,38.294273
P46292,38.146236
P46293,40.80076
P46294,37.028732
P46295,38.433723
P46296,36.628944
P46297,35.788708
P46298,36.581913
P46299,39.804302
P46300,33.64137
P46301,39.963924
P46302,33.650913
P46303,34.910812
P46304,38.5007
P46305,33.331875
P46306,36.109894
P46307,36.210655
P46308,37.578094
P46309,32.06876
P46310,38.219032
P46311,36.127495
P46312,35.407104
P46313,36.011395
P46314,44.32076
P46315,37.427734
P46316,40.50108
P46317,37.458603
P46318,34.994194
P46319,36.996864
P46320,35.476013
P46321,37.08302
P46322,33.363888
P46323,37.443027
P46324,36.533485
P46325,40.540688
P46326,33.17493
P46327,42.46111
P46328,39.374763
P46329,34.937523
P46330,33.085487
P46331,35.97056
P46332,36.30162
P46333,35.136955
P46334,38.64445
P46335,38.548847
P46336,35.723186
P46337,39.98715
P46338,34.931034
P46339,36.120518
P46340,35.105495
P46341,39.77286
P46342,34.03551
P46343,32.37266
P46344,37.005642
P46345,35.20017
P46346,41.150364
P46347,38.41912
P46348,39.68151
P46349,34.952274
P46350,35.77343
P46351,38.497528
P46352,35.476013
P46353,34.758358
P46354,39.53003
P46355,39.684727
P46356,39.294895
P46357,34.197002
P46358,37.49739
P46359,38.797832
P46360,34.626167
P46361,40.43817
P46362,32.15339
P46363,39.25978
P46364,42.540985
P46365,36.434593
P46366,38.403725
P46367,39.32113
P46368,35.352818
P46369,38.25603
P46370,35.0038
P46371,39.868885
P46372,34.06396
P46373,32.865105
P46374,39.682953
P46375,33.959923
P46376,37.99701
P46377,40.32344
P46378,35.805397
P46379,34.1971
P46380,33.41462
P46381,33.318733
P46382,33.862675
P46383,35.06862
P46384,35.439186
P46385,42.539196
P46386,33.766212
P46387,36.109894
P46388,34.103527
P46389,35.13333
P46390,39.810917
P46391,35.5488
P46392,39.016354
P46393,33.959923
P46394,36.33592
P46395,34.714424
P46396,32.858536
P46397,36.86793
P46398,34.31163
P46399,43.027695
P46400,37.091022
P46401,38.659744
P46402,34.788
P46403,37.015438
P46404,37.633915
P46405,36.936787
P46406,33.508404
P46407,39.58055
P46408,36.12324
P46409,34.907726
P46410,38.63693
P46411,38.429672
P46412,37.688858
P46413,39.940403
P46414,35.963444
P46415,38.32045
P46416,35.080944
P46417,37.067554
P46418,37.051266
P46419,35.38141
P46420,35.5129
P46421,39.88368
P46422,38.729847
P46423,38.68632
P46424,35.164032
P46425,37.902958
P46426,34.382458
P46427,36.57141
P46428,43.621506
P46429,37.68712
P46430,35.119095
P46431,35.344627
P46432,35.32493
P46433,37.935642
P46434,38.237957
P46435,34.962772
P46436,40.16972
P46437,35.26514
P46438,37.49456
P46439,39.083275
P46440,39.679893
P46441,36.469666
P46442,41.2815
P46443,30.807407
P46444,37.513927
P46445,35.705723
P46446,36.640972
P46447,43.319782
P46448,34.421894
P46449,36.067043
P46450,33.908993
P46451,37.637684
P46452,37.696484
P46453,39.331566
P46454,39.557983
P46455,38.482533
P46456,34.64107
P46457,35.629765
P46458,37.91548
P46459,35.824387
P46460,36.573845
P46461,38.460266
P46462,34.00519
P46463,35.764175
P46464,35.62716
P46465,35.346886
P46466,34.63292
P46467,36.82966
P46468,39.218155
P46469,40.748753
P46470,36.663166
P46471,36.66979
P46472,38.255024
P46473,40.17313
P46474,40.30145
P46475,41.101948
P46476,37.707108
P46477,35.789955
P46478,39.714973
P46479,42.50077
P46480,40.56436
P46481,36.582764
P46482,36.958424
P46483,36.231804
P46484,37.307735
P46485,34.784344
P46486,37.168148
P46487,38.73788
P46488,37.417774
P46489,39.611504
P46490,35.466656
P46491,36.496944
P46492,40.97868
P46493,35.033623
P46494,37.46431
P46495,39.917503
P46496,31.312105
P46497,35.381958
P46498,33.32535
P46499,39.32895
P46500,39.02929
P46501,34.12155
P46502,34.238647
P46503,36.975063
P46504,35.35172
P46505,38.090168
P46506,39.822723
P46507,41.806885
P46508,40.758595
P46509,35.01578
P46510,39.2637
P46511,33.352135
P46512,36.448555
P46513,34.409042
P46514,33.163586
P46515,37.143784
P46516,36.009727
P46517,37.216003
P46518,33.637573
P46519,35.698025
P46520,42.527412
P46521,38.446793
P46522,36.700176
P46523,36.450237
P46524,34.57069
P46525,36.25242
P46526,34.655766
P46527,38.122375
P46528,39.541008
P46529,33.802654
P46530,35.81553
P46531,37.9936
P46532,37.335606
P46533,39.886044
P46534,37.95316
P46535,39.16066
P46536,39.246273
P46537,37.038578
P46538,41.79171
P46539,39.17765
P46540,38.482525
P46541,41.02844
P46542,32.80039
P46543,37.930473
P46544,38.860847
P46545,35.29936
P46546,35.327232
P46547,35.02878
P46548,39.871265
P46549,39.22852
P46550,36.153385
P46551,35.45169
P46552,32.533188
P46553,34.121475
